"param","truth","mean","sd","q025","q975","bias","abs_bias","covered","method","xsd","eta_setting","rep"
"beta20",0,-0.059354303321,0.213272279509998,-0.469767,0.34451645,-0.059354303321,0.059354303321,TRUE,"Proposed (ADVI)",0.5,0.4,2
"eta",0.4,0.20612337575,0.182075268951621,0.0335617075,0.6627494,-0.19387662425,0.19387662425,TRUE,"Proposed (ADVI)",0.5,0.4,2
"beta1",1,0.7379190283,0.235808188560477,0.2703103,1.19418425,-0.2620809717,0.2620809717,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta2",2,1.96263648,0.286572827334652,1.39479,2.5179175,-0.03736352,0.03736352,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta3",3,2.95455525,0.282462415586138,2.38628275,3.47600875,-0.0454447500000001,0.0454447500000001,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta4",-4,-4.21273399,0.37316544155153,-4.94930825,-3.481507,-0.21273399,0.21273399,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta5",-5,-5.14707223,0.389503989301276,-5.892977,-4.38910975,-0.14707223,0.14707223,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta6",0,-0.085385270967,0.241998356633987,-0.570938575,0.392685675,-0.085385270967,0.085385270967,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta7",0,-0.179089283045,0.228892332837722,-0.6163383,0.266466075,-0.179089283045,0.179089283045,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta8",0,0.014353138435,0.231146347927299,-0.451711775,0.461295875,0.014353138435,0.014353138435,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta9",0,-0.182265890573,0.255142720817268,-0.70665845,0.28415205,-0.182265890573,0.182265890573,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta10",0,0.30398004411,0.20361379574979,-0.118086325,0.701106725,0.30398004411,0.30398004411,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta11",0,0.13264795107932,0.220547271911497,-0.294424575,0.548560525,0.13264795107932,0.13264795107932,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta12",0,0.13590522096,0.248169509175655,-0.369923025,0.609994125,0.13590522096,0.13590522096,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta13",0,0.018127467703,0.22642150706398,-0.414488825,0.462056625,0.018127467703,0.018127467703,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta14",0,0.246424155859,0.226427198958824,-0.194092875,0.68434185,0.246424155859,0.246424155859,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta15",0,-0.091101854727,0.262194751452434,-0.58615285,0.39998975,-0.091101854727,0.091101854727,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta16",0,0.260606903204,0.247851348252552,-0.25122525,0.72512795,0.260606903204,0.260606903204,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta17",0,-0.417488385281,0.259002958536461,-0.93905675,0.0887313674999999,-0.417488385281,0.417488385281,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta18",0,-0.08056083340469,0.210148902045725,-0.494568575,0.3366788,-0.08056083340469,0.08056083340469,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta19",0,-0.226440158266,0.263318607850686,-0.70806205,0.27307705,-0.226440158266,0.226440158266,TRUE,"Naive (ADVI)",0.5,0.4,2
"beta20",0,-0.082801029363,0.224309231297912,-0.520538175,0.343680025,-0.082801029363,0.082801029363,TRUE,"Naive (ADVI)",0.5,0.4,2
