"param","truth","mean","sd","q025","q975","bias","abs_bias","covered","method","xsd"
"beta8",0,-0.0082488804737,0.270102838418355,-0.509984275,0.525643625,-0.0082488804737,0.0082488804737,TRUE,"Proposed",0.5
"beta9",0,0.220255004145,0.236043095873462,-0.25065755,0.68526355,0.220255004145,0.220255004145,TRUE,"Proposed",0.5
"beta10",0,0.2044151969719,0.242787729503733,-0.26567625,0.66277175,0.2044151969719,0.2044151969719,TRUE,"Proposed",0.5
"beta11",0,-0.3046333886496,0.256500938652206,-0.81275915,0.2090999,-0.3046333886496,0.3046333886496,TRUE,"Proposed",0.5
"beta12",0,0.12313173651,0.241259387898857,-0.343543275,0.5777682,0.12313173651,0.12313173651,TRUE,"Proposed",0.5
"beta13",0,0.275199002976,0.280179553658357,-0.283737825,0.797565225,0.275199002976,0.275199002976,TRUE,"Proposed",0.5
"beta14",0,0.087609179544,0.241649397548428,-0.3784691,0.5519961,0.087609179544,0.087609179544,TRUE,"Proposed",0.5
"beta15",0,-0.7008254308,0.22720784358119,-1.1387485,-0.25291005,-0.7008254308,0.7008254308,FALSE,"Proposed",0.5
"beta16",0,-0.325729816986,0.24283192682191,-0.8152349,0.12389665,-0.325729816986,0.325729816986,TRUE,"Proposed",0.5
"beta17",0,0.016960788074,0.262291350448487,-0.481095225,0.522144725,0.016960788074,0.016960788074,TRUE,"Proposed",0.5
"beta18",0,0.364592755701,0.240389451816271,-0.111630125,0.841494075,0.364592755701,0.364592755701,TRUE,"Proposed",0.5
"beta19",0,0.166144046221,0.233100779654242,-0.280504575,0.617744175,0.166144046221,0.166144046221,TRUE,"Proposed",0.5
"beta20",0,-0.007224580876,0.262929131721392,-0.52200455,0.502112625,-0.007224580876,0.007224580876,TRUE,"Proposed",0.5
"eta",0.4,0.3996325737,0.240591619049896,0.1117395,1.02957825,-0.000367426300000029,0.000367426300000029,TRUE,"Proposed",0.5
"beta1",1,1.644209984,0.272330082349292,1.07378,2.1823375,0.644209984,0.644209984,FALSE,"Naive",0.5
"beta2",2,2.31213847,0.243328092674158,1.82323075,2.799776,0.31213847,0.31213847,TRUE,"Naive",0.5
"beta3",3,3.56983573,0.23910545082051,3.10748925,4.01924625,0.56983573,0.56983573,FALSE,"Naive",0.5
"beta4",-4,-5.02348822,0.284060699545463,-5.589554,-4.47830175,-1.02348822,1.02348822,FALSE,"Naive",0.5
