"eta_true","mode","fixed_X","rep","eta_hat","abs_bias","disease_rate"
0.4,"init_plogis_parallel2000",FALSE,31,0.101067183261268,0.298932816738732,0.48
0.4,"init_plogis_parallel2000",FALSE,32,-0.12131489652427,0.52131489652427,0.503333333333333
0.4,"init_plogis_parallel2000",FALSE,33,0.332123383727766,0.0678766162722345,0.504444444444444
0.4,"init_plogis_parallel2000",FALSE,34,0.384547807485471,0.0154521925145292,0.51
0.4,"init_plogis_parallel2000",FALSE,35,0.324005326026661,0.0759946739733389,0.516666666666667
0.4,"init_plogis_parallel2000",FALSE,36,1.19486770749483,0.794867707494827,0.53
0.4,"init_plogis_parallel2000",FALSE,37,0.202921841477451,0.197078158522549,0.503333333333333
0.4,"init_plogis_parallel2000",FALSE,38,0.202210859845556,0.197789140154444,0.476666666666667
0.4,"init_plogis_parallel2000",FALSE,39,0.700348406434389,0.300348406434389,0.538888888888889
0.4,"init_plogis_parallel2000",FALSE,40,0.649537838818221,0.249537838818221,0.498888888888889
0.4,"init_plogis_parallel2000",FALSE,41,-0.283224404785786,0.683224404785786,0.46
0.4,"init_plogis_parallel2000",FALSE,42,0.439122893653028,0.0391228936530281,0.53
0.4,"init_plogis_parallel2000",FALSE,43,0.746972319221136,0.346972319221136,0.531111111111111
0.4,"init_plogis_parallel2000",FALSE,44,0.334571167242048,0.0654288327579521,0.483333333333333
0.4,"init_plogis_parallel2000",FALSE,45,0.136936904850464,0.263063095149536,0.482222222222222
0.4,"init_plogis_parallel2000",FALSE,46,0.486714632527972,0.0867146325279721,0.473333333333333
0.4,"init_plogis_parallel2000",FALSE,47,0.808521387747873,0.408521387747873,0.521111111111111
0.4,"init_plogis_parallel2000",FALSE,48,0.583826203167535,0.183826203167535,0.514444444444444
0.4,"init_plogis_parallel2000",FALSE,49,0.608101441418407,0.208101441418407,0.523333333333333
0.4,"init_plogis_parallel2000",FALSE,50,0.347405388146111,0.0525946118538895,0.523333333333333
0.4,"init_plogis_parallel2000",TRUE,1,0.69577365598627,0.29577365598627,0.505555555555556
0.4,"init_plogis_parallel2000",TRUE,2,0.324690439689513,0.075309560310487,0.501111111111111
0.4,"init_plogis_parallel2000",TRUE,3,0.727590742152719,0.327590742152719,0.503333333333333
0.4,"init_plogis_parallel2000",TRUE,4,-0.164300126029397,0.564300126029397,0.482222222222222
0.4,"init_plogis_parallel2000",TRUE,5,-0.179931913733461,0.579931913733461,0.483333333333333
0.4,"init_plogis_parallel2000",TRUE,6,0.371661056051917,0.0283389439480826,0.498888888888889
0.4,"init_plogis_parallel2000",TRUE,7,1.23344931690658,0.833449316906583,0.511111111111111
0.4,"init_plogis_parallel2000",TRUE,8,0.605405176895506,0.205405176895506,0.505555555555556
0.4,"init_plogis_parallel2000",TRUE,9,0.931849151127264,0.531849151127264,0.518888888888889
0.4,"init_plogis_parallel2000",TRUE,10,0.743530358159693,0.343530358159693,0.506666666666667
0.4,"init_plogis_parallel2000",TRUE,11,0.472897608866586,0.0728976088665859,0.502222222222222
0.4,"init_plogis_parallel2000",TRUE,12,0.515410338827598,0.115410338827598,0.503333333333333
0.4,"init_plogis_parallel2000",TRUE,13,0.447276098067286,0.0472760980672864,0.506666666666667
0.4,"init_plogis_parallel2000",TRUE,14,0.52207504966506,0.12207504966506,0.502222222222222
0.4,"init_plogis_parallel2000",TRUE,15,0.553731597897445,0.153731597897445,0.497777777777778
0.4,"init_plogis_parallel2000",TRUE,16,-0.0221286584853963,0.422128658485396,0.491111111111111
0.4,"init_plogis_parallel2000",TRUE,17,0.82252139275357,0.42252139275357,0.51
0.4,"init_plogis_parallel2000",TRUE,18,0.634998289473197,0.234998289473197,0.503333333333333
0.4,"init_plogis_parallel2000",TRUE,19,0.978709234890083,0.578709234890083,0.506666666666667
0.4,"init_plogis_parallel2000",TRUE,20,0.335511872377812,0.0644881276221881,0.503333333333333
0.4,"init_plogis_parallel2000",TRUE,21,0.885748003594835,0.485748003594835,0.504444444444444
0.4,"init_plogis_parallel2000",TRUE,22,0.547424965207406,0.147424965207406,0.502222222222222
0.4,"init_plogis_parallel2000",TRUE,23,0.94570178136102,0.54570178136102,0.503333333333333
0.4,"init_plogis_parallel2000",TRUE,24,0.232089427229137,0.167910572770863,0.49
0.4,"init_plogis_parallel2000",TRUE,25,-0.213487778821242,0.613487778821242,0.483333333333333
0.4,"init_plogis_parallel2000",TRUE,26,0.934326323246094,0.534326323246094,0.511111111111111
0.4,"init_plogis_parallel2000",TRUE,27,1.03058184322348,0.630581843223476,0.511111111111111
0.4,"init_plogis_parallel2000",TRUE,28,0.60931815758443,0.20931815758443,0.502222222222222
0.4,"init_plogis_parallel2000",TRUE,29,0.609663290210071,0.209663290210071,0.497777777777778
0.4,"init_plogis_parallel2000",TRUE,30,0.936220011964163,0.536220011964163,0.514444444444444
0.4,"init_plogis_parallel2000",TRUE,31,0.272371248741005,0.127628751258995,0.498888888888889
0.4,"init_plogis_parallel2000",TRUE,32,0.057585792467747,0.342414207532253,0.491111111111111
0.4,"init_plogis_parallel2000",TRUE,33,0.0184199524291836,0.381580047570816,0.49
0.4,"init_plogis_parallel2000",TRUE,34,0.859357842518271,0.459357842518271,0.514444444444444
0.4,"init_plogis_parallel2000",TRUE,35,0.0383242808023473,0.361675719197653,0.495555555555556
0.4,"init_plogis_parallel2000",TRUE,36,0.523297791712848,0.123297791712848,0.504444444444444
0.4,"init_plogis_parallel2000",TRUE,37,0.278563152959342,0.121436847040658,0.501111111111111
0.4,"init_plogis_parallel2000",TRUE,38,0.601991301595099,0.201991301595099,0.492222222222222
0.4,"init_plogis_parallel2000",TRUE,39,0.544385433548923,0.144385433548923,0.494444444444444
0.4,"init_plogis_parallel2000",TRUE,40,0.151710254114928,0.248289745885073,0.493333333333333
0.4,"init_plogis_parallel2000",TRUE,41,0.655066544377582,0.255066544377582,0.513333333333333
0.4,"init_plogis_parallel2000",TRUE,42,0.175887750546271,0.224112249453729,0.496666666666667
0.4,"init_plogis_parallel2000",TRUE,43,0.337548179359941,0.0624518206400587,0.495555555555556
0.4,"init_plogis_parallel2000",TRUE,44,0.842329564337476,0.442329564337476,0.504444444444444
0.4,"init_plogis_parallel2000",TRUE,45,0.547157604529569,0.147157604529569,0.495555555555556
0.4,"init_plogis_parallel2000",TRUE,46,0.314871427137679,0.0851285728623211,0.506666666666667
0.4,"init_plogis_parallel2000",TRUE,47,0.47242861942229,0.0724286194222896,0.503333333333333
0.4,"init_plogis_parallel2000",TRUE,48,0.859204052873734,0.459204052873734,0.512222222222222
0.4,"init_plogis_parallel2000",TRUE,49,0.340712124013178,0.059287875986822,0.5
0.4,"init_plogis_parallel2000",TRUE,50,0.321348507871197,0.0786514921288027,0.492222222222222
0.4,"checker2000",FALSE,1,0.639514356122718,0.239514356122718,0.52
0.4,"checker2000",FALSE,2,-0.0981857815225947,0.498185781522595,0.501111111111111
0.4,"checker2000",FALSE,3,0.56241809305378,0.16241809305378,0.496666666666667
0.4,"checker2000",FALSE,4,0.391348325292002,0.00865167470799766,0.512222222222222
0.4,"checker2000",FALSE,5,0.643712249226637,0.243712249226637,0.52
0.4,"checker2000",FALSE,6,0.520608071715259,0.120608071715259,0.516666666666667
0.4,"checker2000",FALSE,7,0.0513752859614392,0.348624714038561,0.503333333333333
0.4,"checker2000",FALSE,8,0.579959723748487,0.179959723748487,0.488888888888889
0.4,"checker2000",FALSE,9,0.240393095210744,0.159606904789256,0.488888888888889
0.4,"checker2000",FALSE,10,1.32016899067894,0.920168990678944,0.517777777777778
0.4,"checker2000",FALSE,11,0.786342379086672,0.386342379086672,0.506666666666667
0.4,"checker2000",FALSE,12,0.644994161159692,0.244994161159692,0.502222222222222
0.4,"checker2000",FALSE,13,0.240770505728344,0.159229494271656,0.54
