"eta_true","rep","model","intercept","eta_hat","abs_bias","disease_rate"
0.4,147,"no_intercept",NA,0.598671056604266,0.198671056604266,0.518888888888889
0.4,147,"with_intercept",1.09230683288329,-1.05869315813489,1.45869315813489,0.518888888888889
0.4,148,"no_intercept",NA,0.852343382165589,0.452343382165589,0.53
0.4,148,"with_intercept",-0.127656806253331,1.04711288975386,0.647112889753863,0.53
0.4,149,"no_intercept",NA,0.729878022954198,0.329878022954198,0.531111111111111
0.4,149,"with_intercept",-0.17386223056475,0.996814048991715,0.596814048991715,0.531111111111111
0.4,150,"no_intercept",NA,0.657844213987701,0.257844213987701,0.524444444444444
0.4,150,"with_intercept",-0.327193830665078,1.15331202974794,0.75331202974794,0.524444444444444
0.4,151,"no_intercept",NA,0.705648560498725,0.305648560498725,0.495555555555556
0.4,151,"with_intercept",-0.397823742269607,1.34800724201357,0.948007242013575,0.495555555555556
0.4,152,"no_intercept",NA,0.772978811584982,0.372978811584982,0.527777777777778
0.4,152,"with_intercept",0.35039497664673,0.231963980710756,0.168036019289244,0.527777777777778
0.4,153,"no_intercept",NA,0.671425302769602,0.271425302769602,0.543333333333333
0.4,153,"with_intercept",0.378979169281678,0.0968473478030643,0.303152652196936,0.543333333333333
0.4,154,"no_intercept",NA,0.409538086648002,0.0095380866480016,0.503333333333333
0.4,154,"with_intercept",-0.0964664365227814,0.56159016696081,0.16159016696081,0.503333333333333
0.4,155,"no_intercept",NA,0.639128943160419,0.239128943160419,0.531111111111111
0.4,155,"with_intercept",-0.72235261845997,1.77190770954937,1.37190770954937,0.531111111111111
0.4,156,"no_intercept",NA,-0.0245797995102466,0.424579799510247,0.506666666666667
0.4,156,"with_intercept",-0.540092171266095,0.828460835833044,0.428460835833044,0.506666666666667
0.4,157,"no_intercept",NA,0.760688330215201,0.360688330215201,0.526666666666667
0.4,157,"with_intercept",-0.33051284728748,1.25692428642636,0.856924286426357,0.526666666666667
0.4,158,"no_intercept",NA,0.342574978640284,0.0574250213597156,0.515555555555556
0.4,158,"with_intercept",0.332017480576566,-0.175625173017005,0.575625173017005,0.515555555555556
0.4,159,"no_intercept",NA,0.504403969777204,0.104403969777204,0.506666666666667
0.4,159,"with_intercept",0.132564847432379,0.290401405312694,0.109598594687306,0.506666666666667
0.4,160,"no_intercept",NA,0.462490449116043,0.0624904491160432,0.528888888888889
0.4,160,"with_intercept",0.22054751217991,0.11307280700991,0.28692719299009,0.528888888888889
