"setting","kind","rep","missing"
"30 Missing Spots","ignorable",174,30
"30 Missing Spots","ignorable",175,30
"30 Missing Spots","ignorable",176,30
"30 Missing Spots","ignorable",177,30
"30 Missing Spots","ignorable",178,30
"30 Missing Spots","ignorable",179,30
"30 Missing Spots","ignorable",180,30
"30 Missing Spots","ignorable",181,30
"30 Missing Spots","ignorable",182,30
"30 Missing Spots","ignorable",183,30
"30 Missing Spots","ignorable",184,30
"30 Missing Spots","ignorable",185,30
"30 Missing Spots","ignorable",186,30
"30 Missing Spots","ignorable",187,30
"30 Missing Spots","ignorable",188,30
"30 Missing Spots","ignorable",189,30
"30 Missing Spots","ignorable",190,30
"30 Missing Spots","ignorable",191,30
"30 Missing Spots","ignorable",192,30
"30 Missing Spots","ignorable",193,30
"30 Missing Spots","ignorable",194,30
"30 Missing Spots","ignorable",195,30
"30 Missing Spots","ignorable",196,30
"30 Missing Spots","ignorable",197,30
"30 Missing Spots","ignorable",198,30
"30 Missing Spots","ignorable",199,30
"30 Missing Spots","ignorable",200,30
"gamma=(-6,1,4)","nonignorable",1,5
"gamma=(-6,1,4)","nonignorable",2,9
"gamma=(-6,1,4)","nonignorable",3,3
"gamma=(-6,1,4)","nonignorable",4,5
"gamma=(-6,1,4)","nonignorable",5,6
"gamma=(-6,1,4)","nonignorable",6,5
"gamma=(-6,1,4)","nonignorable",7,5
"gamma=(-6,1,4)","nonignorable",8,6
"gamma=(-6,1,4)","nonignorable",9,1
"gamma=(-6,1,4)","nonignorable",10,6
"gamma=(-6,1,4)","nonignorable",11,4
"gamma=(-6,1,4)","nonignorable",12,4
"gamma=(-6,1,4)","nonignorable",13,5
"gamma=(-6,1,4)","nonignorable",14,3
"gamma=(-6,1,4)","nonignorable",15,3
"gamma=(-6,1,4)","nonignorable",16,2
"gamma=(-6,1,4)","nonignorable",17,3
"gamma=(-6,1,4)","nonignorable",18,7
"gamma=(-6,1,4)","nonignorable",19,1
"gamma=(-6,1,4)","nonignorable",20,5
"gamma=(-6,1,4)","nonignorable",21,5
"gamma=(-6,1,4)","nonignorable",22,7
"gamma=(-6,1,4)","nonignorable",23,0
"gamma=(-6,1,4)","nonignorable",24,6
"gamma=(-6,1,4)","nonignorable",25,5
"gamma=(-6,1,4)","nonignorable",26,3
"gamma=(-6,1,4)","nonignorable",27,9
"gamma=(-6,1,4)","nonignorable",28,5
"gamma=(-6,1,4)","nonignorable",29,3
"gamma=(-6,1,4)","nonignorable",30,5
"gamma=(-6,1,4)","nonignorable",31,3
"gamma=(-6,1,4)","nonignorable",32,4
"gamma=(-6,1,4)","nonignorable",33,6
"gamma=(-6,1,4)","nonignorable",34,10
"gamma=(-6,1,4)","nonignorable",35,1
"gamma=(-6,1,4)","nonignorable",36,9
"gamma=(-6,1,4)","nonignorable",37,4
"gamma=(-6,1,4)","nonignorable",38,4
"gamma=(-6,1,4)","nonignorable",39,5
"gamma=(-6,1,4)","nonignorable",40,2
"gamma=(-6,1,4)","nonignorable",41,2
"gamma=(-6,1,4)","nonignorable",42,4
"gamma=(-6,1,4)","nonignorable",43,3
"gamma=(-6,1,4)","nonignorable",44,3
"gamma=(-6,1,4)","nonignorable",45,6
"gamma=(-6,1,4)","nonignorable",46,5
"gamma=(-6,1,4)","nonignorable",47,7
"gamma=(-6,1,4)","nonignorable",48,2
"gamma=(-6,1,4)","nonignorable",49,2
"gamma=(-6,1,4)","nonignorable",50,2
"gamma=(-6,1,4)","nonignorable",51,3
"gamma=(-6,1,4)","nonignorable",52,5
"gamma=(-6,1,4)","nonignorable",53,3
"gamma=(-6,1,4)","nonignorable",54,4
"gamma=(-6,1,4)","nonignorable",55,4
"gamma=(-6,1,4)","nonignorable",56,0
"gamma=(-6,1,4)","nonignorable",57,9
"gamma=(-6,1,4)","nonignorable",58,5
"gamma=(-6,1,4)","nonignorable",59,6
"gamma=(-6,1,4)","nonignorable",60,5
"gamma=(-6,1,4)","nonignorable",61,2
"gamma=(-6,1,4)","nonignorable",62,4
"gamma=(-6,1,4)","nonignorable",63,6
"gamma=(-6,1,4)","nonignorable",64,2
"gamma=(-6,1,4)","nonignorable",65,6
"gamma=(-6,1,4)","nonignorable",66,2
"gamma=(-6,1,4)","nonignorable",67,6
"gamma=(-6,1,4)","nonignorable",68,7
"gamma=(-6,1,4)","nonignorable",69,2
"gamma=(-6,1,4)","nonignorable",70,1
"gamma=(-6,1,4)","nonignorable",71,1
"gamma=(-6,1,4)","nonignorable",72,6
"gamma=(-6,1,4)","nonignorable",73,3
"gamma=(-6,1,4)","nonignorable",74,6
"gamma=(-6,1,4)","nonignorable",75,2
"gamma=(-6,1,4)","nonignorable",76,1
"gamma=(-6,1,4)","nonignorable",77,7
"gamma=(-6,1,4)","nonignorable",78,4
"gamma=(-6,1,4)","nonignorable",79,5
"gamma=(-6,1,4)","nonignorable",80,1
"gamma=(-6,1,4)","nonignorable",81,5
"gamma=(-6,1,4)","nonignorable",82,7
"gamma=(-6,1,4)","nonignorable",83,5
"gamma=(-6,1,4)","nonignorable",84,4
"gamma=(-6,1,4)","nonignorable",85,4
"gamma=(-6,1,4)","nonignorable",86,7
"gamma=(-6,1,4)","nonignorable",87,2
"gamma=(-6,1,4)","nonignorable",88,4
"gamma=(-6,1,4)","nonignorable",89,8
"gamma=(-6,1,4)","nonignorable",90,4
"gamma=(-6,1,4)","nonignorable",91,1
"gamma=(-6,1,4)","nonignorable",92,8
"gamma=(-6,1,4)","nonignorable",93,4
"gamma=(-6,1,4)","nonignorable",94,2
"gamma=(-6,1,4)","nonignorable",95,2
"gamma=(-6,1,4)","nonignorable",96,1
"gamma=(-6,1,4)","nonignorable",97,4
"gamma=(-6,1,4)","nonignorable",98,3
"gamma=(-6,1,4)","nonignorable",99,4
"gamma=(-6,1,4)","nonignorable",100,7
"gamma=(-6,1,4)","nonignorable",101,2
"gamma=(-6,1,4)","nonignorable",102,4
"gamma=(-6,1,4)","nonignorable",103,7
"gamma=(-6,1,4)","nonignorable",104,6
"gamma=(-6,1,4)","nonignorable",105,5
"gamma=(-6,1,4)","nonignorable",106,2
"gamma=(-6,1,4)","nonignorable",107,6
"gamma=(-6,1,4)","nonignorable",108,4
"gamma=(-6,1,4)","nonignorable",109,5
"gamma=(-6,1,4)","nonignorable",110,3
"gamma=(-6,1,4)","nonignorable",111,11
"gamma=(-6,1,4)","nonignorable",112,5
"gamma=(-6,1,4)","nonignorable",113,4
"gamma=(-6,1,4)","nonignorable",114,1
"gamma=(-6,1,4)","nonignorable",115,4
"gamma=(-6,1,4)","nonignorable",116,3
"gamma=(-6,1,4)","nonignorable",117,3
"gamma=(-6,1,4)","nonignorable",118,5
"gamma=(-6,1,4)","nonignorable",119,4
"gamma=(-6,1,4)","nonignorable",120,5
"gamma=(-6,1,4)","nonignorable",121,1
"gamma=(-6,1,4)","nonignorable",122,4
"gamma=(-6,1,4)","nonignorable",123,1
"gamma=(-6,1,4)","nonignorable",124,3
"gamma=(-6,1,4)","nonignorable",125,3
"gamma=(-6,1,4)","nonignorable",126,2
"gamma=(-6,1,4)","nonignorable",127,2
"gamma=(-6,1,4)","nonignorable",128,5
"gamma=(-6,1,4)","nonignorable",129,6
"gamma=(-6,1,4)","nonignorable",130,6
