"setting","kind","rep","method","seconds"
"30 Missing Spots","ignorable",87,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",88,"Missing first-pass (ADVI)",0.23599999999999
"30 Missing Spots","ignorable",89,"Missing first-pass (ADVI)",0.240000000000009
"30 Missing Spots","ignorable",90,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",91,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",92,"Missing first-pass (ADVI)",0.235000000000014
"30 Missing Spots","ignorable",93,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",94,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",95,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",96,"Missing first-pass (ADVI)",0.23599999999999
"30 Missing Spots","ignorable",97,"Missing first-pass (ADVI)",0.23599999999999
"30 Missing Spots","ignorable",98,"Missing first-pass (ADVI)",0.239999999999981
"30 Missing Spots","ignorable",99,"Missing first-pass (ADVI)",0.239000000000004
"30 Missing Spots","ignorable",100,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",101,"Missing first-pass (ADVI)",0.239000000000004
"30 Missing Spots","ignorable",102,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",103,"Missing first-pass (ADVI)",0.240999999999985
"30 Missing Spots","ignorable",104,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",105,"Missing first-pass (ADVI)",0.239999999999981
"30 Missing Spots","ignorable",106,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",107,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",108,"Missing first-pass (ADVI)",0.239000000000004
"30 Missing Spots","ignorable",109,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",110,"Missing first-pass (ADVI)",0.257999999999981
"30 Missing Spots","ignorable",111,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",112,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",113,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",114,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",115,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",116,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",117,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",118,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",119,"Missing first-pass (ADVI)",0.23599999999999
"30 Missing Spots","ignorable",120,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",121,"Missing first-pass (ADVI)",0.23599999999999
"30 Missing Spots","ignorable",122,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",123,"Missing first-pass (ADVI)",0.23599999999999
"30 Missing Spots","ignorable",124,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",125,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",126,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",127,"Missing first-pass (ADVI)",0.23599999999999
"30 Missing Spots","ignorable",128,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",129,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",130,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",131,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",132,"Missing first-pass (ADVI)",0.24199999999999
"30 Missing Spots","ignorable",133,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",134,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",135,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",136,"Missing first-pass (ADVI)",0.240000000000009
"30 Missing Spots","ignorable",137,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",138,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",139,"Missing first-pass (ADVI)",0.23599999999999
"30 Missing Spots","ignorable",140,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",141,"Missing first-pass (ADVI)",0.238000000000028
"30 Missing Spots","ignorable",142,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",143,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",144,"Missing first-pass (ADVI)",0.236000000000018
"30 Missing Spots","ignorable",145,"Missing first-pass (ADVI)",0.236999999999995
"30 Missing Spots","ignorable",146,"Missing first-pass (ADVI)",0.238000000000028
"30 Missing Spots","ignorable",147,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",148,"Missing first-pass (ADVI)",0.238999999999976
"30 Missing Spots","ignorable",149,"Missing first-pass (ADVI)",0.239999999999981
"30 Missing Spots","ignorable",150,"Missing first-pass (ADVI)",0.239000000000004
"30 Missing Spots","ignorable",151,"Missing first-pass (ADVI)",0.239000000000004
"30 Missing Spots","ignorable",152,"Missing first-pass (ADVI)",0.238
"30 Missing Spots","ignorable",153,"Missing first-pass (ADVI)",0.238
