"method","setting","kind","rep","missing","param","truth","mean","sd","q025","q975","bias","abs_bias","covered"
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",7,10,"eta",1.6,1.654022059,0.32999361456384,1.10055575,2.368547,0.054022059,0.054022059,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",8,10,"beta1",1,1.038628936,0.193369267321351,0.68249065,1.44548575,0.0386289360000001,0.0386289360000001,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",8,10,"beta2",2,2.47531151,0.251109493457185,1.97883175,2.9789125,0.47531151,0.47531151,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",8,10,"beta3",3,3.62327891,0.349536108415136,2.9358815,4.32940575,0.62327891,0.62327891,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",8,10,"beta4",-4,-5.06086008,0.454379352378893,-5.9676595,-4.157569,-1.06086008,1.06086008,FALSE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",8,10,"beta5",-5,-6.42137609,0.562293089443262,-7.48116825,-5.29796675,-1.42137609,1.42137609,FALSE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",8,10,"beta6",0,0.0375031501327,0.18188942205691,-0.333079,0.3714574,0.0375031501327,0.0375031501327,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",8,10,"beta7",0,-0.201197584014,0.204151016378578,-0.604891875,0.2045242,-0.201197584014,0.201197584014,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",8,10,"beta8",0,0.035872300853,0.179979498875104,-0.3178215,0.398397275,0.035872300853,0.035872300853,TRUE
"Missing first-pass (ADVI)","10 Missing Spots","ignorable",8,10,"beta9",0,0.005935940161,0.190734701205841,-0.381181425,0.385833575,0.005935940161,0.005935940161,TRUE
