"eta_true","sweeps","update","gen_scale","fit_scale","rep","eta_hat","eta_abs_bias","disease_rate"
0.4,20,"parallel","avg","avg",23,0.453842657877108,0.0538426578771083,0.521111111111111
0.4,20,"parallel","avg","avg",24,0.32454293015751,0.0754570698424898,0.512222222222222
0.4,20,"parallel","avg","avg",25,0.594134760941303,0.194134760941303,0.555555555555556
0.4,20,"parallel","avg","avg",26,0.735544724515945,0.335544724515945,0.537777777777778
0.4,20,"parallel","avg","avg",27,0.0730943965617035,0.326905603438297,0.503333333333333
0.4,20,"parallel","avg","avg",28,0.840666506725857,0.440666506725857,0.541111111111111
0.4,20,"parallel","avg","avg",29,0.652275085076149,0.252275085076149,0.498888888888889
0.4,20,"parallel","avg","avg",30,0.127441776710922,0.272558223289078,0.495555555555556
0.4,20,"parallel","avg","avg",31,0.416616768635418,0.0166167686354178,0.498888888888889
0.4,20,"parallel","avg","avg",32,0.413667775099038,0.0136677750990379,0.517777777777778
0.4,20,"parallel","avg","avg",33,-0.09603078046198,0.49603078046198,0.516666666666667
0.4,20,"parallel","avg","avg",34,0.748114218708436,0.348114218708436,0.553333333333333
0.4,20,"parallel","avg","avg",35,0.316923772430335,0.0830762275696655,0.496666666666667
0.4,20,"parallel","avg","avg",36,0.178143790881168,0.221856209118832,0.506666666666667
0.4,20,"parallel","avg","avg",37,0.33460442324576,0.06539557675424,0.491111111111111
0.4,20,"parallel","avg","avg",38,0.0137695487337955,0.386230451266205,0.495555555555556
0.4,20,"parallel","avg","avg",39,0.322909324213171,0.0770906757868293,0.522222222222222
0.4,20,"parallel","avg","avg",40,0.0912211626197611,0.308778837380239,0.524444444444444
0.4,20,"parallel","avg","avg",41,0.527020602138404,0.127020602138404,0.54
0.4,20,"parallel","avg","avg",42,0.497856535987047,0.0978565359870475,0.504444444444444
0.4,20,"parallel","avg","avg",43,0.316032100548634,0.0839678994513665,0.524444444444444
0.4,20,"parallel","avg","avg",44,0.09520257081618,0.30479742918382,0.525555555555556
0.4,20,"parallel","avg","avg",45,0.367834546885142,0.032165453114858,0.534444444444444
0.4,20,"parallel","avg","avg",46,0.754947329629264,0.354947329629264,0.535555555555556
0.4,20,"parallel","avg","avg",47,0.797522427894143,0.397522427894143,0.505555555555556
0.4,20,"parallel","avg","avg",48,0.624374235861847,0.224374235861847,0.523333333333333
0.4,20,"parallel","avg","avg",49,0.700341590350024,0.300341590350024,0.541111111111111
0.4,20,"parallel","avg","avg",50,0.385894570285373,0.0141054297146275,0.514444444444444
0.4,20,"parallel","sum","sum",1,0.499176903102828,0.0991769031028283,0.557777777777778
0.4,20,"parallel","sum","sum",2,0.458285072197161,0.058285072197161,0.578888888888889
0.4,20,"parallel","sum","sum",3,0.508980224629282,0.108980224629282,0.538888888888889
0.4,20,"parallel","sum","sum",4,0.329160921942659,0.070839078057341,0.535555555555556
0.4,20,"parallel","sum","sum",5,0.279199621783252,0.120800378216748,0.524444444444444
0.4,20,"parallel","sum","sum",6,0.258729738208625,0.141270261791375,0.525555555555556
0.4,20,"parallel","sum","sum",7,0.407235597411031,0.00723559741103125,0.554444444444444
0.4,20,"parallel","sum","sum",8,0.52181393506888,0.12181393506888,0.568888888888889
0.4,20,"parallel","sum","sum",9,0.368701789107321,0.0312982108926791,0.554444444444444
0.4,20,"parallel","sum","sum",10,0.457068712290931,0.0570687122909314,0.56
0.4,20,"parallel","sum","sum",11,0.376817691445213,0.0231823085547873,0.531111111111111
0.4,20,"parallel","sum","sum",12,0.417726439254174,0.0177264392541735,0.555555555555556
0.4,20,"parallel","sum","sum",13,0.360440782735322,0.0395592172646782,0.542222222222222
0.4,20,"parallel","sum","sum",14,0.298907456074321,0.101092543925679,0.542222222222222
0.4,20,"parallel","sum","sum",15,0.381941967697902,0.0180580323020985,0.538888888888889
0.4,20,"parallel","sum","sum",16,0.580783672046637,0.180783672046637,0.528888888888889
0.4,20,"parallel","sum","sum",17,0.421646780315156,0.0216467803151557,0.52
0.4,20,"parallel","sum","sum",18,0.439328333104186,0.0393283331041857,0.567777777777778
0.4,20,"parallel","sum","sum",19,0.325420730548218,0.0745792694517823,0.536666666666667
0.4,20,"parallel","sum","sum",20,0.39096472528327,0.00903527471673021,0.536666666666667
0.4,20,"parallel","sum","sum",21,0.464389195484895,0.0643891954848949,0.528888888888889
0.4,20,"parallel","sum","sum",22,0.347436268664431,0.0525637313355691,0.507777777777778
0.4,20,"parallel","sum","sum",23,0.42302124684555,0.0230212468455503,0.553333333333333
0.4,20,"parallel","sum","sum",24,0.451753262384729,0.0517532623847293,0.546666666666667
0.4,20,"parallel","sum","sum",25,0.345653198406167,0.0543468015938331,0.572222222222222
0.4,20,"parallel","sum","sum",26,0.417362478463365,0.0173624784633647,0.573333333333333
0.4,20,"parallel","sum","sum",27,0.328651370561706,0.0713486294382938,0.53
0.4,20,"parallel","sum","sum",28,0.456673486646175,0.0566734866461754,0.568888888888889
0.4,20,"parallel","sum","sum",29,0.37342934323177,0.0265706567682299,0.525555555555556
0.4,20,"parallel","sum","sum",30,0.333339841709735,0.0666601582902649,0.53
0.4,20,"parallel","sum","sum",31,0.49876530489151,0.0987653048915098,0.53
0.4,20,"parallel","sum","sum",32,0.450477554625598,0.050477554625598,0.548888888888889
0.4,20,"parallel","sum","sum",33,0.294467798158437,0.105532201841563,0.558888888888889
0.4,20,"parallel","sum","sum",34,0.460251732859849,0.0602517328598487,0.585555555555556
0.4,20,"parallel","sum","sum",35,0.367119652466008,0.0328803475339923,0.524444444444444
0.4,20,"parallel","sum","sum",36,0.328061908955338,0.0719380910446625,0.544444444444444
0.4,20,"parallel","sum","sum",37,0.515412002306936,0.115412002306936,0.523333333333333
0.4,20,"parallel","sum","sum",38,0.285834454654557,0.114165545345443,0.53
0.4,20,"parallel","sum","sum",39,0.396707348687942,0.00329265131205836,0.544444444444444
0.4,20,"parallel","sum","sum",40,0.309295350999629,0.0907046490003711,0.552222222222222
0.4,20,"parallel","sum","sum",41,0.4707316149745,0.0707316149745001,0.576666666666667
